"Campus UnB — Darcy Ribeiro (Plano Piloto) / df","Diurno","Língua Estrangeira Aplicada – Multilinguismo e Sociedade da Informação (Bacharelado)","155.280","155.280","-111.560","-111.560","-","-","-64.440","-39.245","-","-","-","-","-","-","-120.345","-120.345","-","-","-11.235","139.125"
"Campus UnB — Darcy Ribeiro (Plano Piloto) / df","Diurno","Língua Francesa e Respectiva Literatura (Bacharelado/Licenciatura)","-","-","-","-","-","-","-149.470","-93.950","-","-","-","-","-","-","-187.210","32.530","-","-","-190.340","66.675"
"Campus UnB — Darcy Ribeiro (Plano Piloto) / df","Diurno","Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciatura)","46.300","46.300","-74.685","-50.080","-","-","-4.320","-4.320","-","-","-","-","-","-","65.500","114.545","-","-","48.045","165.440"
"Campus UnB — Darcy Ribeiro (Plano Piloto) / df","Diurno","Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura)","-110.385","-110.385","-39.575","-36.280","-","-","50.245","111.065","-","-","-","-","-","-","34.550","141.100","-","-","105.700","220.755"
"Campus UnB — Darcy Ribeiro (Plano Piloto) / df","Noturno","Língua Portuguesa e Respectiva Literatura (Licenciatura)","-17.720","-17.720","-31.175","-31.175","-","-","-27.590","-27.590","-","-","-","-","-","-","31.320","31.320","-","-","-186.550","76.390"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Diurno","Matemática (Bacharelado/Licenciatura)","-82.040","-82.040","37.830","51.515","-","-","-22.810","-22.810","-","-","120.970","120.970","-","-","-58.420","171.395","-","-","-5.270","263.955"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Diurno","Medicina (Bacharelado)","342.410","342.410","201.540","210.205","34.565","34.565","306.340","306.340","141.655","141.655","261.285","301.620","-118.560","-118.560","393.660","393.660","231.115","231.115","397.260","461.290"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Diurno","Medicina Veterinária (Bacharelado)","195.260","195.260","-111.760","-44.660","-","-","-15.695","-3.370","-","-","-27.070","114.040","-","-","53.200","75.790","-","-","127.135","203.525"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Diurno","Museologia (Bacharelado)","-115.740","-115.740","-","-","-","-","63.925","63.925","-","-","-","-","-","-","-101.525","-32.960","-","-","-118.515","-44.590"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Diurno","Música (Bacharelado)*","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-100.560","89.110"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Diurno","Música (Licenciatura)*","-","-","-","-","-","-","-207.295","-207.295","-","-","-","-","-","-","-26.000","-26.000","-","-","-48.440","48.855"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Diurno","Nutrição (Bacharelado)","41.995","41.995","-96.325","-74.885","-","-","-10.855","26.725","-","-","-54.165","-29.080","-","-","-","-","-87.050","-87.050","72.160","159.910"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Diurno","Odontologia (Bacharelado)","37.820","37.820","-97.630","-40.400","-","-","82.105","82.105","-","-","-104.810","-99.155","-","-","139.380","139.380","-","-","167.460","195.420"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Diurno","Pedagogia (Licenciatura)","-62.985","-51.560","-","-","-","-","-158.825","-21.715","-","-","-101.310","-101.310","-","-","-179.840","-29.190","-","-","-120.490","33.010"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Noturno","Pedagogia (Licenciatura)","-83.635","-83.635","-","-","-","-","-191.305","-180.495","-","-","-132.685","-40.780","-","-","-128.720","-103.250","-","-","-237.810","-65.425"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Diurno","Psicologia (Bacharelado / Licenciatura / Psicólogo)","102.195","102.195","6.215","109.910","-","-","46.485","138.905","-","-","10.700","70.710","-","-","147.985","147.985","-35.790","-35.790","187.600","243.670"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Diurno","Química (Bacharelado)","26.165","26.165","-","-","-","-","-","-","-","-","-","-","-","-","-145.405","-145.405","-","-","-25.095","121.545"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Diurno","Química Tecnológica (Bacharelado)","-","-","-","-","-","-","-103.435","-55.165","-","-","-","-","-","-","-160.135","-160.135","-","-","85.940","157.775"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Diurno","Relações Internacionais (Bacharelado)","186.085","186.085","-82.090","-18.450","-","-","-13.800","77.645","-","-","-98.570","29.445","-","-","39.135","39.135","10.230","10.230","260.630","324.840"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Noturno","Saúde Coletiva (Bacharelado)","-","-","-","-","-","-","-","-","-","-","-131.540","-131.540","-","-","-214.590","-7.200","-","-","-152.775","-11.375"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Diurno","Serviço Social (Bacharelado)","-11.550","-11.550","-130.845","-86.510","-","-","-181.915","-181.915","-","-","-61.835","-11.625","-","-","-191.430","25.270","-","-","-111.160","53.015"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Noturno","Serviço Social (Bacharelado)","-11.475","-11.475","-","-","-","-","-","-","-","-","-","-","-","-","-228.625","-76.040","-","-","-198.285","53.930"
"Campus UnB — Darcy Ribeiro (Plano Piloto) / df","Noturno","Teoria, Crítica e História da Arte (Bacharelado)","36.150","36.150","-204.930","-204.930","-","-","45.825","45.825","-","-","-","-","-","-","-22.265","-22.265","-","-","-17.015","222.470"
"Campus UnB — Darcy Ribeiro (Plano Piloto) / df","Diurno","Turismo (Bacharelado)","-","-","-","-","-","-","-173.745","-173.745","-","-","-","-","-","-","-","-","-","-","-201.205","-28.895"
"Campus UnB — Gama / DF","Diurno","Engenharias – Aeroespacial / Automotiva / Eletrônica / Energia / Software (Bacharelados)**","29.115","288.955","-140.035","11.105","-","-","-170.180","67.605","-","-","-59.770","257.215","-","-","-178.385","208.440","-","-","133.055","340.075"
"Campus UnB — Planaltina / DF","Diurno","Ciências Naturais (Licenciatura)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-150.660","-84.450"
"Campus UnB — Planaltina / DF","Noturno","Ciências Naturais (Licenciatura)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-111.475","-21.740"
"Campus UnB — Planaltina / DF","Noturno","Gestão Ambiental (Bacharelado)","-","-","-","-","-","-","-84.150","-84.150","-","-","-","-","-","-","-","-","-","-","-","-"
"Campus UnB — Planaltina / DF","Diurno","Gestão do Agronegócio (Bacharelado)","-","-","-","-","-","-","-","-","-","-","-160.405","-160.405","-","-","-137.750","-137.750","-","-","-154.240","-154.240"
